scene,song,listener,left_score,right_score,score
scene_10001,A Classic Education - NightOwl-hlp_0056,L0066,0.46152691280509445,0.12280693444836853,0.29216692362673147
scene_10001,A Classic Education - NightOwl-hlp_0056,L0057,0.47622347667307907,0.49730823103309973,0.4867658538530894
scene_10002,A Classic Education - NightOwl-hlp_0003,L0099,0.4450493281329104,0.5038220163670806,0.4744356722499955
scene_10002,A Classic Education - NightOwl-hlp_0003,L0051,0.4873102754405356,0.34991916118014055,0.4186147183103381
scene_10003,A Classic Education - NightOwl-hlp_0119,L0053,0.7593667291916685,0.6936871887198824,0.7265269589557755
scene_10003,A Classic Education - NightOwl-hlp_0119,L0010,0.38721370542192884,0.18831366562208152,0.28776368552200515
scene_10004,A Classic Education - NightOwl-hlp_0014,L0032,0.3606543218691025,0.5812946896415232,0.47097450575531286
scene_10004,A Classic Education - NightOwl-hlp_0014,L0078,0.8068065746079747,0.4821806430511354,0.644493608829555
scene_10005,Actions - Devil's Words-hlp_0008,L0022,0.623660438464936,0.5569032380032275,0.5902818382340818
scene_10005,Actions - Devil's Words-hlp_0008,L0047,0.5502510271393365,0.5075504068424321,0.5289007169908844
scene_10006,Actions - Devil's Words-hlp_0034,L0003,0.7014977473051909,0.5761563152632463,0.6388270312842186
scene_10006,Actions - Devil's Words-hlp_0034,L0095,0.5302081795932285,0.3574476695434192,0.4438279245683239
scene_10007,Actions - Devil's Words-hlp_0095,L0074,0.5062350388034744,0.4878122322119513,0.4970236355077129
scene_10007,Actions - Devil's Words-hlp_0095,L0056,0.3637513004554608,0.405928370984909,0.3848398357201849
scene_10008,Actions - Devil's Words-hlp_0099,L0061,0.7162605296649952,0.635415417562234,0.6758379736136146
scene_10008,Actions - Devil's Words-hlp_0099,L0076,0.5966364028365343,0.6446212973448138,0.620628850090674
scene_10009,Actions - One Minute Smile-hlp_0037,L0072,0.31732137020054413,0.30326934143633105,0.3102953558184376
scene_10009,Actions - One Minute Smile-hlp_0037,L0099,0.306115352334328,0.34659452980954397,0.32635494107193597
scene_10010,Actions - One Minute Smile-hlp_0005,L0027,0.5511275135316496,0.5588456018585488,0.5549865576950992
scene_10010,Actions - One Minute Smile-hlp_0005,L0072,0.3599875282075288,0.3030750692216675,0.33153129871459813
scene_10011,Actions - One Minute Smile-hlp_0114,L0012,0.40329415582557876,0.38597341482923686,0.3946337853274078
