scene,song,listener,left_score,right_score,score
scene_10001,A Classic Education - NightOwl-hlp_0056,L0066,0.4547634895631325,0.1224939739378711,0.2886287317505018
scene_10001,A Classic Education - NightOwl-hlp_0056,L0057,0.47142422974454173,0.4936362728831793,0.4825302513138605
scene_10002,A Classic Education - NightOwl-hlp_0003,L0099,0.4595051857012799,0.5095312898000868,0.48451823775068337
scene_10002,A Classic Education - NightOwl-hlp_0003,L0051,0.5227386679324642,0.3574370627155812,0.44008786532402266
scene_10003,A Classic Education - NightOwl-hlp_0119,L0053,0.7942611778387267,0.7132788082940409,0.7537699930663838
scene_10003,A Classic Education - NightOwl-hlp_0119,L0010,0.37092527985577994,0.18455627441767564,0.2777407771367278
scene_10004,A Classic Education - NightOwl-hlp_0014,L0032,0.38666924689338095,0.5881868524458815,0.48742804966963127
scene_10004,A Classic Education - NightOwl-hlp_0014,L0078,0.7986945989564042,0.4840778824030272,0.6413862406797157
scene_10005,Actions - Devil's Words-hlp_0008,L0022,0.6210464158624657,0.5540675590215837,0.5875569874420247
scene_10005,Actions - Devil's Words-hlp_0008,L0047,0.5472537901722087,0.5049180730057955,0.5260859315890021
scene_10006,Actions - Devil's Words-hlp_0034,L0003,0.6991236892341435,0.5728475137813273,0.6359856015077354
scene_10006,Actions - Devil's Words-hlp_0034,L0095,0.5263609589736045,0.35491301902770994,0.4406369890006572
scene_10007,Actions - Devil's Words-hlp_0095,L0074,0.5003895514251848,0.4809299240388851,0.490659737732035
scene_10007,Actions - Devil's Words-hlp_0095,L0056,0.3604613135929011,0.4015086073439464,0.3809849604684238
scene_10008,Actions - Devil's Words-hlp_0099,L0061,0.7167612820671747,0.6357534522002998,0.6762573671337373
scene_10008,Actions - Devil's Words-hlp_0099,L0076,0.5963746788560293,0.6437116154306222,0.6200431471433258
scene_10009,Actions - One Minute Smile-hlp_0037,L0072,0.3171135857807452,0.30298460959894563,0.31004909768984545
scene_10009,Actions - One Minute Smile-hlp_0037,L0099,0.306042401678611,0.3464079539235707,0.32622517780109084
scene_10010,Actions - One Minute Smile-hlp_0005,L0027,0.5504872247574769,0.5576768046025197,0.5540820146799983
scene_10010,Actions - One Minute Smile-hlp_0005,L0072,0.3593920908718657,0.3024941133970591,0.33094310213446243
scene_10011,Actions - One Minute Smile-hlp_0114,L0012,0.4011587883565953,0.3836962669121848,0.39242752763439004
scene_10011,Actions - One Minute Smile-hlp_0114,L0024,0.4563530654032708,0.4802041298131729,0.4682785976082219
scene_10012,Actions - One Minute Smile-hlp_0015,L0093,0.5950861395217949,0.6013951128815036,0.5982406262016493
scene_10012,Actions - One Minute Smile-hlp_0015,L0041,0.32552635110825423,0.5439657289792517,0.43474604004375295
scene_10013,Actions - South Of The Water-hlp_0131,L0002,0.45401744325783816,0.5996519067261511,0.5268346749919947
scene_10013,Actions - South Of The Water-hlp_0131,L0008,0.6780723733408703,0.7257369612988896,0.70190466731988
scene_10014,Actions - South Of The Water-hlp_0065,L0072,0.3693355000534027,0.3648355603208959,0.3670855301871493
scene_10014,Actions - South Of The Water-hlp_0065,L0100,0.48869578460793367,0.5977365721907822,0.543216178399358
scene_10015,Actions - South Of The Water-hlp_0001,L0094,0.6171387015695717,0.5345817562093453,0.5758602288894585
scene_10015,Actions - South Of The Water-hlp_0001,L0017,0.6531195782137038,0.4834276280808163,0.56827360314726
scene_10016,Actions - South Of The Water-hlp_0068,L0049,0.33912861430356017,0.12061735875861992,0.22987298653109006
scene_10016,Actions - South Of The Water-hlp_0068,L0042,0.49779545844951145,0.23457877768281474,0.3661871180661631
scene_10017,Aimee Norwich - Child-hlp_0051,L0039,0.6500054803252169,0.6215846490822039,0.6357950647037104
scene_10017,Aimee Norwich - Child-hlp_0051,L0054,0.636156097177344,0.6310216230021025,0.6335888600897233
scene_10018,Aimee Norwich - Child-hlp_0102,L0068,0.7666570084932285,0.8183548253033215,0.792505916898275
scene_10018,Aimee Norwich - Child-hlp_0102,L0093,0.8556087529539443,0.8351284080991537,0.845368580526549
scene_10019,Aimee Norwich - Child-hlp_0101,L0058,0.5782047401988704,0.5200505949314088,0.5491276675651395
