Episode,Step,Reward,Bass_params_left,Bass_params_right,Other_params_left,Other_params_right,Drums_params_left,Drums_params_right,HAAQI_score_left,HAAQI_score_right,HAAQI_score,Original HAAQI_score,Done
0,1,-215.30115316374943,[-20.    3.8  97.  358. ],[-12.    4.7  17.  917. ],[-32.   2.  96. 982.],[-37.   2.  98.  37.],[ -28.     4.3   22.  1318. ],[ -38.    3.   22. 1199.],0.45748542459536456,0.12254239959482333,0.290013912095094,0.29216692362673147,False
2,1,-6712.412169935089,[ -6.    5.8  86.  896. ],[-36.    6.2  22.  945. ],[-12.    2.2  80.  991. ],[ -14.     5.5   61.  1400. ],[  -7.     3.3   43.  1246. ],[-22.    4.9  40.  357. ],0.40920927862769585,0.4054138224735933,0.4073115505506446,0.4744356722499955,False
3,1,-15212.03520821458,[ -15.     5.6   34.  1690. ],[ -39.     2.1   61.  1354. ],[ -23.     6.7   58.  1478. ],[-29.    3.4  33.  459. ],[  -4.     5.1   25.  2007. ],[ -34.    6.   56. 1676.],0.14231957607105833,0.39066915638532623,0.2664943662281923,0.4186147183103381,False
1,1,-14079.822792476854,[ -12.     4.8   56.  1006. ],[ -3.    5.3  54.  671. ],[-18.    2.8  26.  849. ],[-40.    3.3  72.  564. ],[ -34.     4.7   37.  1650. ],[  -4.     4.4   80.  1432. ],0.47125058276591425,0.22068466909072754,0.34596762592832087,0.4867658538530894,False
3,2,87.1562031558304,[-35.    2.9  32.  887. ],[  -6.     2.9   93.  1300. ],[ -11.     2.4   22.  1181. ],[-14.    5.4  64.  854. ],[  -8.     3.2   83.  1952. ],[ -6.    2.3  95.  487. ],0.4763627411493113,0.3626098195344814,0.4194862803418964,0.4186147183103381,False
0,2,-12442.269042833668,[ -3.    4.7  85.  504. ],[ -17.     6.6   80.  1144. ],[-38.    6.1  69.  309. ],[-32.    2.9  92.  124. ],[-5.   6.2 87.  40. ],[  -6.     3.1   62.  1564. ],0.2232706510137194,0.11221781538307017,0.1677442331983948,0.29216692362673147,False
1,2,-11161.560623899026,[ -12.     3.1   78.  1950. ],[  -7.     2.4   17.  1733. ],[ -14.    5.   96. 1917.],[-12.    6.3  52.  342. ],[ -21.     2.6   81.  1822. ],[ -28.     5.4   62.  1084. ],0.37295579994498285,0.37734469528321546,0.37515024761409915,0.4867658538530894,False
2,2,-25523.630891877026,[ -32.     3.6   68.  1024. ],[-34.    4.8  20.  113. ],[ -21.     3.6   80.  1727. ],[ -39.     4.5   89.  1204. ],[-39.    5.1  79.  521. ],[-29.   6.  32. 836.],0.3486225041342971,0.08977622252815347,0.21919936333122528,0.4744356722499955,False
2,3,-35823.61030096363,[ -35.     4.8   71.  1391. ],[ -18.     2.3   65.  1981. ],[-12.    6.6  77.  679. ],[ -33.    4.   73. 1181.],[  -9.     4.5   36.  1388. ],[ -35.     3.7   82.  1450. ],0.13245418806193054,0.09994495041878787,0.11619956924035921,0.4744356722499955,False
3,3,-16581.942341999416,[ -14.     4.6   42.  1853. ],[-30.    5.4  99.  205. ],[-11.   7.  58. 714.],[ -13.     2.2   70.  1137. ],[  -7.     2.5   52.  1163. ],[ -40.     4.7   95.  1290. ],0.23470893041716967,0.27088165936351816,0.2527952948903439,0.4186147183103381,False
0,3,-6931.397727653166,[-38.    2.9  41.  698. ],[ -31.     6.6   19.  1178. ],[ -21.     4.3   40.  1704. ],[  -7.     5.1   29.  1571. ],[ -18.     4.9   48.  1466. ],[-37.    2.7  29.  119. ],0.32414500647289857,0.12156088622750104,0.2228529463501998,0.29216692362673147,False
1,3,-24138.8343502902,[-34.    6.5  28.   45. ],[ -40.     2.8  100.  1542. ],[  -8.    7.   72. 1475.],[ -32.     6.9   27.  1260. ],[-33.    4.9  87.   51. ],[-30.    5.6  15.  968. ],0.27578570991567497,0.2149693107846998,0.2453775103501874,0.4867658538530894,False
3,4,-20787.679285921633,[-40.    3.4  59.   73. ],[ -17.     6.9   30.  1741. ],[ -13.    7.   99. 1172.],[ -5.    5.2  66.  543. ],[-10.   6.  74. 839.],[ -1.    6.2  82.  500. ],0.14946902458959577,0.2720068263126478,0.21073792545112177,0.4186147183103381,False
2,4,-38037.16049218605,[-39.   6.  20. 983.],[-16.    5.2  20.  435. ],[-36.    4.8  17.   75. ],[ -30.     6.5   71.  1903. ],[ -26.     4.3   90.  1388. ],[ -30.     6.6   17.  1771. ],0.08840429579203003,0.09972383886424,0.09406406732813502,0.4744356722499955,False
0,4,-12429.752252268938,[ -37.     3.5   68.  1307. ],[ -18.     5.8   16.  1507. ],[ -24.     5.3   91.  1636. ],[ -21.    2.   80. 1166.],[  -7.     5.7   66.  1792. ],[  -8.     5.1   72.  1385. ],0.21371501089956074,0.1220237913085234,0.16786940110404208,0.29216692362673147,False
1,4,-29105.421212521633,[-35.    2.9  57.  790. ],[-39.    6.2  68.  313. ],[-29.    3.9  54.  106. ],[ -22.     6.4   27.  1047. ],[-38.    4.2  31.  777. ],[-13.    3.1  15.  780. ],0.23090175050318384,0.16052153295256238,0.19571164172787311,0.4867658538530894,False
0,5,-3071.3775423809043,[-19.    5.5  41.  646. ],[-26.    2.3  92.  622. ],[  -9.     6.6   99.  1438. ],[-33.    4.6  59.  831. ],[ -9.    5.1  20.  977. ],[ -26.     6.5   74.  1782. ],0.40974363595018315,0.11316266045566176,0.2614531482029224,0.29216692362673147,False
3,5,-21364.230835720842,[ -9.   2.  56. 352.],[ -26.     6.9   64.  1396. ],[-29.    6.5  60.  374. ],[  -5.     4.8   73.  1026. ],[-35.    2.1  77.  280. ],[-32.    6.4  34.  660. ],0.13931154415146835,0.27063327575479096,0.20497240995312965,0.4186147183103381,False
2,5,-18521.37407534234,[ -7.    2.7  45.  856. ],[ -6.    5.2  79.  313. ],[-28.    5.9  46.  665. ],[  -3.     6.4   95.  1689. ],[-40.   6.  72. 325.],[-33.    3.7  95.  841. ],0.10415854717892965,0.4742853158142145,0.2892219314965721,0.4744356722499955,False
1,5,-26306.357198799353,[-38.    5.9  20.  608. ],[ -28.    5.   57. 1102.],[ -24.    6.   56. 1203.],[ -38.     2.4   76.  1937. ],[-30.    3.7  33.  969. ],[  -6.     2.2   27.  1811. ],0.1575960566489057,0.2898085070812861,0.2237022818650959,0.4867658538530894,False
3,6,5749.819724091626,[ -32.    4.   32. 1131.],[  -7.     3.8   30.  1908. ],[-22.    3.2  84.  965. ],[-12.    5.3  81.  170. ],[ -29.    3.   41. 1001.],[ -18.     3.1   65.  1336. ],0.5478856736739618,0.40434015742854695,0.47611291555125435,0.4186147183103381,True
0,6,-8798.172583778885,[-25.    5.9  92.  521. ],[-26.   4.  39. 964.],[-29.   2.  26. 894.],[ -9.    3.2  32.  660. ],[-26.    4.8  66.  683. ],[  -6.     5.9   15.  1830. ],0.2863682462105554,0.12200214936732981,0.20418519778894262,0.29216692362673147,False
2,6,197.45731017149492,[ -15.     2.3   97.  1444. ],[ -37.     5.6   35.  1368. ],[ -12.     4.3   70.  2007. ],[-18.    3.8  53.  167. ],[ -39.     6.2   33.  1707. ],[-11.    4.8  34.  737. ],0.409576293196528,0.5432441975068929,0.47641024535171045,0.4744356722499955,False
